Factory,Month,GHG,SAH,EFF,WH,W
150,2022-06-01,12562.9,275600.0,0.71,798647.0,3583.0
434,2022-06-01,19435.4,261953.0,0.49,1065725.0,4791.0
761,2022-06-01,14997.3,159666.0,0.76,415622.0,1858.0
1122,2022-06-01,4935.6,143914.0,0.51,522403.0,2430.0
1396,2022-06-01,6653.1,153081.0,0.33,952408.0,4215.0
1966,2022-06-01,3340.1,25593.0,0.38,144554.0,668.0
150,2022-05-01,8860.5,287367.0,0.71,790565.0,3466.0
434,2022-05-01,18368.2,255454.0,0.48,932062.0,4144.0
761,2022-05-01,17657.8,158224.0,0.66,488441.0,2266.0
1122,2022-05-01,4871.8,130973.0,0.55,492862.0,2268.0
1396,2022-05-01,3827.7,143729.0,0.38,811112.0,3659.0
1966,2022-05-01,3154.1,24916.0,0.36,132383.0,609.0
150,2022-04-01,8399.8,259594.0,0.71,690366.0,3137.0
434,2022-04-01,15980.5,242257.0,0.45,1069036.0,4838.0
761,2022-04-01,15442.3,162260.0,0.66,449075.0,1988.0
1122,2022-04-01,7755.0,140271.0,0.45,605682.0,2751.0
1396,2022-04-01,6912.6,146796.0,0.39,727525.0,3242.0
1966,2022-04-01,3005.8,26051.0,0.31,148152.0,679.0
150,2022-03-01,6791.4,310091.0,0.86,691117.0,3066.0
434,2022-03-01,14096.0,283988.0,0.53,1022777.0,4638.0
761,2022-03-01,15827.9,144205.0,0.69,411584.0,1884.0
1122,2022-03-01,8867.2,146466.0,0.48,624987.0,2798.0
1396,2022-03-01,6075.3,142618.0,0.35,775624.0,3608.0
1966,2022-03-01,3716.3,27208.0,0.28,211259.0,951.0
150,2022-02-01,10250.1,286393.0,0.64,928499.0,4214.0
434,2022-02-01,23012.3,314086.0,0.43,1369392.0,6289.0
761,2022-02-01,18518.0,148240.0,0.66,471906.0,2151.0
1122,2022-02-01,6110.3,130643.0,0.51,505820.0,2280.0
1396,2022-02-01,5084.4,161211.0,0.37,776025.0,3443.0
1966,2022-02-01,3585.1,28234.0,0.32,170807.0,775.0
150,2022-01-01,9792.4,316277.0,0.73,873747.0,3993.0
434,2022-01-01,16833.3,278659.0,0.5,1133655.0,5199.0
761,2022-01-01,13967.9,142635.0,0.68,400941.0,1799.0
1122,2022-01-01,9705.7,140456.0,0.41,712314.0,3152.0
1396,2022-01-01,7812.3,180457.0,0.28,1241675.0,5500.0
1966,2022-01-01,2720.7,23553.0,0.33,135941.0,619.0
150,2021-12-01,8935.5,242032.0,0.67,749179.0,3388.0
434,2021-12-01,20616.6,293419.0,0.44,1337258.0,6104.0
761,2021-12-01,20202.5,166114.0,0.63,511362.0,2353.0
1122,2021-12-01,8457.8,149086.0,0.47,647520.0,2964.0
1396,2021-12-01,5721.5,140931.0,0.33,917096.0,4203.0
1966,2021-12-01,1989.2,21780.0,0.36,126722.0,563.0
150,2021-11-01,9360.7,253116.0,0.63,759458.0,3525.0
434,2021-11-01,22802.3,310870.0,0.4,1649972.0,7407.0
761,2021-11-01,17194.6,137710.0,0.62,454391.0,2057.0
1122,2021-11-01,7752.8,142770.0,0.51,603739.0,2733.0
1396,2021-11-01,6336.4,142808.0,0.35,858872.0,3876.0
1966,2021-11-01,2916.9,22153.0,0.34,150358.0,684.0
150,2021-10-01,8022.0,310415.0,0.84,711300.0,3204.0
434,2021-10-01,18781.5,262686.0,0.44,1219012.0,5480.0
761,2021-10-01,17660.8,153612.0,0.66,466895.0,2120.0
1122,2021-10-01,6687.2,111288.0,0.46,488429.0,2227.0
1396,2021-10-01,5040.5,160415.0,0.32,951364.0,4295.0
1966,2021-10-01,3723.8,27517.0,0.35,144133.0,658.0
150,2021-09-01,8270.4,222295.0,0.72,610459.0,2793.0
434,2021-09-01,18480.6,279113.0,0.5,1116889.0,5054.0
761,2021-09-01,16838.8,172037.0,0.76,437557.0,1979.0
1122,2021-09-01,9366.1,169829.0,0.38,847634.0,3855.0
